,State,Opioid Dispensing Rate per 100,Year,my_state
4,California,55.9,2011,CA
5,Colorado,73.0,2011,CO
6,Connecticut,69.1,2011,CT
7,Delaware,99.7,2011,DE
8,District of Columbia,39.8,2011,DC
9,Florida,83.5,2011,FL
10,Georgia,88.6,2011,GA
11,Hawaii,50.1,2011,HI
12,Idaho,91.4,2011,ID
13,Illinois,64.3,2011,IL
14,Indiana,106.7,2011,IN
15,Iowa,64.0,2011,IA
16,Kansas,87.8,2011,KS
17,Kentucky,137.0,2011,KY
18,Louisiana,111.7,2011,LA
19,Maine,93.1,2011,ME
20,Maryland,72.9,2011,MD
21,Massachusetts,65.9,2011,MA
22,Michigan,98.8,2011,MI
23,Minnesota,60.0,2011,MN
24,Mississippi,117.2,2011,MS
25,Missouri,91.6,2011,MO
26,Montana,85.3,2011,MT
27,Nebraska,68.8,2011,NE
28,Nevada,100.3,2011,NV
29,New Hampshire,80.9,2011,NH
30,New Jersey,61.5,2011,NJ
31,New Mexico,81.6,2011,NM
32,New York,51.1,2011,NY
33,North Carolina,93.5,2011,NC
34,North Dakota,61.3,2011,ND
35,Ohio,101.5,2011,OH
36,Oklahoma,122.3,2011,OK
37,Oregon,100.7,2011,OR
38,Pennsylvania,81.7,2011,PA
39,Rhode Island,82.5,2011,RI
40,South Carolina,96.8,2011,SC
41,South Dakota,55.1,2011,SD
42,Tennessee,138.5,2011,TN
43,Texas,72.0,2011,TX
44,Utah,85.2,2011,UT
45,Vermont,53.6,2011,VT
46,Virginia,76.6,2011,VA
47,Washington,81.6,2011,WA
48,West Virginia,139.6,2011,WV
49,Wisconsin,75.2,2011,WI
50,Wyoming,78.2,2011,WY
0,Alabama,143.8,2012,AL
1,Alaska,66.8,2012,AK
2,Arizona,85.3,2012,AZ
3,Arkansas,121.8,2012,AR
4,California,56.4,2012,CA
5,Colorado,73.5,2012,CO
6,Connecticut,69.3,2012,CT
7,Delaware,94.0,2012,DE
8,District of Columbia,40.3,2012,DC
9,Florida,75.9,2012,FL
10,Georgia,89.4,2012,GA
11,Hawaii,50.4,2012,HI
12,Idaho,92.0,2012,ID
13,Illinois,66.1,2012,IL
14,Indiana,110.5,2012,IN
15,Iowa,74.1,2012,IA
16,Kansas,90.3,2012,KS
17,Kentucky,127.9,2012,KY
18,Louisiana,113.0,2012,LA
19,Maine,89.7,2012,ME
20,Maryland,72.2,2012,MD
21,Massachusetts,65.7,2012,MA
22,Michigan,100.7,2012,MI
23,Minnesota,60.9,2012,MN
24,Mississippi,121.8,2012,MS
25,Missouri,95.4,2012,MO
26,Montana,87.7,2012,MT
27,Nebraska,73.2,2012,NE
28,Nevada,98.9,2012,NV
29,New Hampshire,83.7,2012,NH
